"Virginia","UMBC"
"Creighton","Kansas St."
"Kentucky","Davidson"
"Arizona","Buffalo"
"Miami (FL)","Loyola Chicago"
"Tennessee","Wright St."
"Nevada","Texas"
"Cincinnati","Georgia St."
"Xavier","Texas Southern"
"Missouri","Florida St."
"Ohio St.","South Dakota St."
"Gonzaga","UNCG"
"Houston","San Diego St."
"Michigan","Montana"
"Texas A&M","Providence"
"North Carolina","Lipscomb"
"Villanova","Radford"
"Virginia Tech","Alabama"
"West Virginia","Murray St."
"Wichita St.","Marshall"
"Florida","St. Bonaventure"
"Texas Tech","SFA"
"Arkansas","Butler"
"Purdue","Cal St. Fullerton"
"Kansas","Penn"
"Seton Hall","North Carolina St."
"Clemson","New Mexico St."
"Auburn","Col. of Charleston"
"TCU","Syracuse"
"Michigan St.","Bucknell"
"Rhode Island","Oklahoma"
"Duke","Iona"
"UMBC","Kansas St."
"Kentucky","Buffalo"
"Loyola Chicago","Tennessee"
"Nevada",Cincinnati"
"Xavier","Florida St."
"Ohio St.","Gonzaga"
"Houston","Michigan"
"Texas A&M","North Carolina"
"Villanova","Alabama"
"West Virginia","Marshall"
"Florida","Texas Tech"
"Butler","Purdue"
"Kansas","Seton Hall"
"Clemson","Auburn"
"Syracuse","Michigan St."
"Rhode Island","Duke"
"Kansas St.","Kentucky"
"Loyola Chicago","Nevada"
"Florida St.","Gonzaga"
"Michigan","Texas A&M"
"Villanova","West Virginia"
"Texas Tech","Purdue"
"Kansas","Clemson"
"Syracuse","Duke"
"Kansas St.","Loyola Chicago"
"Florida St.","Michigan"
"Villanova","Texas Tech"
"Kansas","Duke"
"Loyola Chicago","Michigan"
"Villanova","Kansas"
"Michigan","Villanova"
"Villanova",""
