"Gonzaga","Georgia St."
"Boise St.","Memphis"
"UConn","New Mexico St."
"Arkansas","Vermont"
"Alabama","Notre Dame"
"Texas Tech","Montana St."
"Michigan St.","Davidson"
"Duke","Cal St. Fullerton"
"Baylor","Norfolk St."
"North Carolina","Marquette"
"Saint Mary's (CA)","Indiana"
"UCLA","Akron"
"Texas","Virginia Tech"
"Purdue","Yale"
"Murray St.","San Francisco"
"Kentucky","Saint Peter's"
"Arizona","Wright St."
"Seton Hall","TCU"
"Houston","UAB"
"Illinois","Chattanooga"
"Colorado St.","Michigan"
"Tennessee","Longwood"
"Ohio St.","Loyola Chicago"
"Villanova","Delaware"
"Kansas","Texas Southern"
"San Diego St.","Creighton"
"Iowa","Richmond"
"Providence","South Dakota St."
"LSU","Iowa St."
"Wisconsin","Colgate"
"Southern California","Miami (FL)"
"Auburn","Jacksonville St."
"Gonzaga","Memphis"
"New Mexico St.","Arkansas"
"Notre Dame","Texas Tech"
"Michigan","Duke"
"Baylor","North Carolina"
"Saint Mary's (CA)","UCLA"
"Texas","Purdue"
"Murray St.","Saint Peter's"
"Arizona","TCU"
"Houston","Illinois"
"Michigan","Tennessee"
"Ohio St.","Villanova"
"Kansas","Creighton"
"Richmond","Providence"
"Iowa St.","Wisconsin"
"Miami (FL)","Auburn"
"Gonzaga","Arkansas"
"Texas Tech","Duke"
"North Carolina","UCLA"
"Purdue","Saint Peter's"
"Arizona","Houston"
"Michigan","Villanova"
"Kansas","Providence"
"Iowa St.","Miami (FL)"
"Arkansas","Duke"
"North Carolina","Saint Peter's"
"Houston","Villanova"
"Kansas","Miami (FL)"
"Duke","North Carolina"
"Villanova","Kansas"
"North Carolina","Kansas"
"Kansas",""
